DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201208901,03/05/2020 12:00:00 AM,03/05/2020 12:00:00 AM,500,12,77th Street,1243,1,330,BURGLARY FROM VEHICLE,344,42,F,O,101,STREET,,,IC,Invest Cont,330,,,,6500    HAAS                         AV,,33.9806,-118.3168
210107279,03/10/2021 12:00:00 AM,03/05/2021 12:00:00 AM,1635,1,Central,135,1,330,BURGLARY FROM VEHICLE,0329 1414 0344 1822 1609 1307,32,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,330,,,,E  3RD                          ST,MAIN                         ST,34.0495,-118.2459
211506502,03/05/2021 12:00:00 AM,03/05/2021 12:00:00 AM,1710,15,N Hollywood,1545,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0417 0445 0429 1309 1822 1218 0400 0416,36,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,5200    AGNES                        AV,,34.1649,-118.3954
211306878,03/05/2021 12:00:00 AM,03/05/2021 12:00:00 AM,1100,13,Newton,1377,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 1202 0603 0443 1268,63,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AA,Adult Arrest,930,,,,5700    HOLMES                       AV,,33.991,-118.2412
211906685,03/19/2021 12:00:00 AM,03/05/2021 12:00:00 AM,1900,19,Mission,1972,1,310,BURGLARY,344,31,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,15000    NORDHOFF                     ST,,34.2355,-118.4594
211408011,03/11/2021 12:00:00 AM,03/05/2021 12:00:00 AM,2330,14,Pacific,1415,1,330,BURGLARY FROM VEHICLE,0344 1300 0321,24,M,W,101,STREET,,,IC,Invest Cont,330,,,,1700    PENMAR                       AV,,34.0023,-118.4569
221506570,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,100,15,N Hollywood,1589,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,20,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,3600    BARHAM                       BL,,34.1362,-118.342
220606961,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,330,6,Hollywood,648,2,624,BATTERY - SIMPLE ASSAULT,1266 0400 0448 0429 2004 1402,46,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,,,1600 N  WESTERN                      AV,,34.1001,-118.3092
220806658,03/06/2022 12:00:00 AM,03/05/2022 12:00:00 AM,2230,8,West LA,832,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 2032 2014 0344,32,F,B,114,TAXI,,,IC,Invest Cont,341,,,,11600    GOSHEN                       AV,,34.0517,-118.46
220906427,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1955,9,Van Nuys,911,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,56,M,A,104,DRIVEWAY,,,IC,Invest Cont,331,,,,15600    HART                         ST,,34.1975,-118.4727
220107788,03/06/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1645,1,Central,139,1,330,BURGLARY FROM VEHICLE,0329 1822 1307 1609 0344,24,M,B,503,HOTEL,,,IC,Invest Cont,330,,,,100 S  HEWITT                       ST,,34.0487,-118.2362
222106716,03/12/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1700,21,Topanga,2145,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0447,38,F,H,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,,,6900    TOPANGA CANYON               BL,,34.1923,-118.6104
220206750,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1615,2,Rampart,235,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1402 2000 1814 0913 0448,23,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,998,,,2300    BEVERLY                      BL,,34.0677,-118.2728
222008689,04/20/2022 12:00:00 AM,03/05/2022 12:00:00 AM,120,20,Olympic,2073,2,354,THEFT OF IDENTITY,1822 0100 0922,44,F,K,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2900 W  15TH                         ST,,34.0454,-118.3061
220406101,03/05/2022 12:00:00 AM,03/05/2022 12:00:00 AM,900,4,Hollenbeck,466,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0447 0416 0408,22,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 N  MATHEWS                      ST,,34.0447,-118.2075
220709244,05/15/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1600,7,Wilshire,734,1,310,BURGLARY,0329 1606 0344,42,M,A,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,400 S  BURNSIDE                     AV,,34.0672,-118.3518
220406224,03/09/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1130,4,Hollenbeck,422,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,32,M,C,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,HANCOCK                      ST,BALDWIN                      ST,34.0702,-118.209
220108019,03/10/2022 12:00:00 AM,03/05/2022 12:00:00 AM,2030,1,Central,159,1,330,BURGLARY FROM VEHICLE,1609 1822 1307 0344 0329,32,F,H,101,STREET,,,IC,Invest Cont,330,,,,4TH,MATEO,34.0414,-118.2332
222007627,03/27/2022 12:00:00 AM,03/05/2022 12:00:00 AM,1600,20,Olympic,2088,1,310,BURGLARY,0358 0352 0344 1602 1822,45,F,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1800    ARAPAHOE                     ST,,34.0418,-118.2852
221308948,03/29/2022 12:00:00 AM,03/05/2022 12:00:00 AM,130,13,Newton,1321,1,330,BURGLARY FROM VEHICLE,0344 1307 1202 1609 1822,66,M,W,102,SIDEWALK,,,IC,Invest Cont,330,,,,MAIN                         ST,WASHINGTON                   BL,34.031,-118.2647
231611879,09/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1200,16,Foothill,1622,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 0416 0448 0429,39,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,10900    TAMARACK                     AV,,34.268,-118.4288
231807214,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,100,18,Southeast,1805,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 0416 1814,31,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,300 E  92ND                         ST,,33.9529,-118.2695
231307275,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1110,13,Newton,1345,1,210,ROBBERY,0906 1313 1822 0334 0344 0371 0400 1309 0342,19,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,42ND                         PL,ZAMORA                       ST,34.0067,-118.253
231706622,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1430,17,Devonshire,1749,1,310,BURGLARY,1202 0344,76,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,10500    DANUBE                       AV,,34.2617,-118.4742
231207926,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1100,12,77th Street,1241,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0913 1309 2021,58,M,H,203,OTHER BUSINESS,307,VEHICLE,AO,Adult Other,236,,,,6300    CRENSHAW                     BL,,33.9829,-118.3309
231007261,03/25/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1235,10,West Valley,1028,2,354,THEFT OF IDENTITY,1822 0929,35,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6800    MCLENNAN                     AV,,34.1952,-118.5
231307257,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,100,13,Newton,1333,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913 0561 0345,52,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,901,,,,400 E  32ND                         ST,,34.0188,-118.2684
231006498,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1700,10,West Valley,1088,1,761,BRANDISH WEAPON,0369 0202 1822 0443 0334 0432,43,M,H,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,761,930,,,16200    VENTURA                      BL,,34.1568,-118.4864
230307485,03/07/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1725,3,Southwest,328,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,20,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,3000 S  HOOVER                       ST,,34.0274,-118.284
201006925,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1810,10,West Valley,1015,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0447 2000 1813 2002 1414,41,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,,,17800    VALERIO                      ST,,34.2048,-118.5208
200707102,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,2200,7,Wilshire,745,1,330,BURGLARY FROM VEHICLE,1609 1300 0344,35,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,5500 W  OLYMPIC                      BL,,34.0573,-118.3491
201707142,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,2015,17,Devonshire,1716,2,624,BATTERY - SIMPLE ASSAULT,0444 0561 0913 0448 1701 1202,83,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,17000    GALESBERG                    ST,,34.2849,-118.5038
201307677,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1340,13,Newton,1372,2,624,BATTERY - SIMPLE ASSAULT,0344 0432 0913 0416 1259 2024,17,M,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 E  53RD                         ST,,33.9943,-118.2701
200108630,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1600,1,Central,176,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0377 1822 0344,21,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,700 S  LOS ANGELES                  ST,,34.0433,-118.2504
200507346,03/18/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1700,5,Harbor,504,1,310,BURGLARY,0321 0344 0358 1602,39,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,1400 W  190TH                        ST,,33.8584,-118.3022
201208587,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,920,12,77th Street,1273,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 0337 0444,35,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,2000 W  MANCHESTER                   AV,,33.96,-118.3134
201307760,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,500,13,Newton,1346,1,330,BURGLARY FROM VEHICLE,0344 1605,47,M,H,101,STREET,,,IC,Invest Cont,330,,,,4100    ASCOT                        AV,,34.0089,-118.2494
202000590,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,2000,20,Olympic,2033,1,310,BURGLARY,1822 0344 0358 1402,23,M,H,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,310,998,,,900 S  HOBART                       BL,,34.0559,-118.3053
211807219,03/06/2021 12:00:00 AM,03/06/2021 12:00:00 AM,105,18,Southeast,1822,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0305 0448,35,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,10000 S  FIGUEROA                     ST,,33.945,-118.2826
210906706,03/09/2021 12:00:00 AM,03/06/2021 12:00:00 AM,1200,9,Van Nuys,979,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822,24,M,W,101,STREET,,,IC,Invest Cont,331,,,,4600    ETHEL                        AV,,34.154,-118.4181
210606736,03/07/2021 12:00:00 AM,03/06/2021 12:00:00 AM,1540,6,Hollywood,637,2,624,BATTERY - SIMPLE ASSAULT,0400 0429 0446 0416 2004,20,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,HOLLYWOOD                    BL,ARGYLE                       AV,34.1016,-118.3252
210800614,03/07/2021 12:00:00 AM,03/06/2021 12:00:00 AM,2000,8,West LA,808,1,310,BURGLARY,0389 1414 1822 1609 0344 0321 1402,55,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,998,,,9900    BEVERLY GROVE                DR,,34.094,-118.4253
211407690,03/06/2021 12:00:00 AM,03/06/2021 12:00:00 AM,615,14,Pacific,1435,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1814 0913 0416 2000,26,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,11900    VENICE                       BL,,34.0039,-118.4334
212106277,03/07/2021 12:00:00 AM,03/06/2021 12:00:00 AM,2115,21,Topanga,2158,1,330,BURGLARY FROM VEHICLE,0930 0344 0377,26,F,B,108,PARKING LOT,,,IC,Invest Cont,330,,,,6200    CANOGA                       AV,,34.1828,-118.5974
220107836,03/07/2022 12:00:00 AM,03/06/2022 12:00:00 AM,2140,1,Central,141,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 2033,49,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 S  FIGUEROA                     ST,,34.0542,-118.2566
220107909,03/07/2022 12:00:00 AM,03/06/2022 12:00:00 AM,1800,1,Central,128,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1822 2032,37,F,H,102,SIDEWALK,,,IC,Invest Cont,440,,,,300 E  1ST                          ST,,34.0504,-118.2409
221506714,03/08/2022 12:00:00 AM,03/06/2022 12:00:00 AM,1900,15,N Hollywood,1555,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 0445 2034 0601,23,M,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,5000    LANKERSHIM                   BL,,34.1611,-118.3723
222106491,03/07/2022 12:00:00 AM,03/06/2022 12:00:00 AM,1523,21,Topanga,2198,2,901,VIOLATION OF RESTRAINING ORDER,2038,59,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,4400    DA VINCI                     AV,,34.148,-118.6019
222106462,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,320,21,Topanga,2183,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,51,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,22900    DARIEN                       ST,,34.1486,-118.6269
220307025,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,24,3,Southwest,329,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2033 2000 0913 1814 1251 0408 2002,18,F,W,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,32ND                         ST,FIGUEROA,34.0246,-118.2772
220706482,03/07/2022 12:00:00 AM,03/06/2022 12:00:00 AM,2200,7,Wilshire,788,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0356 0419 1309,31,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1900    CRENSHAW                     BL,,34.0399,-118.3311
220607079,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,730,6,Hollywood,626,2,901,VIOLATION OF RESTRAINING ORDER,1814 0913 2038,29,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901,,,,6400    DIX                          ST,,34.1058,-118.3289
221606053,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,1330,16,Foothill,1659,2,901,VIOLATION OF RESTRAINING ORDER,2038,60,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901,,,,10100    GISH                         AV,,34.2516,-118.2769
221307527,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,2100,13,Newton,1345,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448 0408 1243 1813 0913,35,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1200 E  MARTIN LUTHER KING JR        BL,,34.0112,-118.2542
220607044,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,1930,6,Hollywood,666,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0913 1206 2033 0448 1814,28,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,6500    DE LONGPRE                   AV,,34.0961,-118.3303
232106441,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,950,21,Topanga,2146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1420 0302 0334,22,F,W,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,6900    OWENSMOUTH                   AV,,34.1956,-118.6015
231109335,05/24/2023 12:00:00 AM,03/06/2023 12:00:00 AM,1800,11,Northeast,1128,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0913 0344,27,F,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,341,,,,1000 N  AVENUE 63,,34.1244,-118.1795
230108178,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,1130,1,Central,152,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1266 0445 1822 2004 1402,40,M,H,103,ALLEY,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,998,,,600 S  FIGUEROA                     ST,,34.0508,-118.2586
231207974,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,1525,12,77th Street,1252,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 2040 1815 1402 0421,17,F,B,721,HIGH SCHOOL,511,VERBAL THREAT,AA,Adult Arrest,930,,,,2900 W  70TH                         ST,,33.9764,-118.3246
230906517,03/07/2023 12:00:00 AM,03/06/2023 12:00:00 AM,930,9,Van Nuys,989,1,310,BURGLARY,0358 0352 0344 1609,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,4400    STERN                        AV,,34.1504,-118.4355
231507134,03/16/2023 12:00:00 AM,03/06/2023 12:00:00 AM,600,15,N Hollywood,1549,2,354,THEFT OF IDENTITY,1822 0929,61,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5500    CASE                         AV,,34.17,-118.3719
231307369,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,1200,13,Newton,1346,2,354,THEFT OF IDENTITY,0377 0922 0344,30,F,B,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,354,,,,1300 E  VERNON                       AV,,34.006,-118.2513
230207090,03/07/2023 12:00:00 AM,03/06/2023 12:00:00 AM,2000,2,Rampart,251,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 0416 0400 0408,36,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,600 S  RAMPART                      BL,,34.0624,-118.2813
201208655,03/07/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1,12,77th Street,1256,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0913 0416 0446 0443,63,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,600 W  74TH                         ST,,33.9727,-118.286
201007564,03/18/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1815,10,West Valley,1079,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394 1202,67,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,15800    MOORPARK                     ST,,34.1567,-118.4771
202107170,03/09/2020 12:00:00 AM,03/07/2020 12:00:00 AM,2300,21,Topanga,2126,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,45,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,8000    FAIRCHILD                    AV,,34.2156,-118.5874
201907329,03/08/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1800,19,Mission,1958,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,50,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,14200    FILMORE                      ST,,34.253,-118.4473
201907326,03/07/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1230,19,Mission,1916,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329,47,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,13800    AZTEC                        ST,,34.3048,-118.4347
200607553,03/08/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1800,6,Hollywood,669,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1307 0329 1822,41,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,HOBART,SANTA MONICA,34.0908,-118.3046
201108405,04/16/2020 12:00:00 AM,03/07/2020 12:00:00 AM,800,11,Northeast,1133,1,310,BURGLARY,0344 1605 1402,26,M,B,221,PUBLIC STORAGE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,998,,,2900    CASITAS                      AV,,34.1109,-118.2464
200807064,03/07/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1835,8,West LA,882,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,30,F,W,101,STREET,,,IC,Invest Cont,745,,,,11300    MISSISSIPPI                  AV,,34.0396,-118.4425
202107092,03/08/2020 12:00:00 AM,03/07/2020 12:00:00 AM,2000,21,Topanga,2149,1,330,BURGLARY FROM VEHICLE,1612 0321 0344,32,F,O,104,DRIVEWAY,,,IC,Invest Cont,330,,,,7000    PENFIELD                     AV,,34.1975,-118.5688
201607558,03/28/2020 12:00:00 AM,03/07/2020 12:00:00 AM,900,16,Foothill,1677,1,310,BURGLARY,344,33,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,8700    VINEVALLEY                   DR,,34.2276,-118.3592
211807298,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,500,18,Southeast,1823,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0416 0429 0444 1813 1243 2002,38,F,H,121,YARD (RESIDENTIAL/BUSINESS),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,200 E  CENTURY                      BL,,33.9456,-118.2717
210506621,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,520,5,Harbor,558,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,35,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,300 N  PALOS VERDES                 ST,,33.7452,-118.2817
210706415,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,2240,7,Wilshire,765,2,624,BATTERY - SIMPLE ASSAULT,416,22,F,B,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,4700 W  PICO                         BL,,34.0486,-118.3385
210406503,03/10/2021 12:00:00 AM,03/07/2021 12:00:00 AM,1115,4,Hollenbeck,459,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,27,F,W,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,3100    BLANCHARD                    ST,,34.0474,-118.1957
211306956,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,1945,13,Newton,1331,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,47,M,H,122,"VEHICLE, PASSENGER/TRUCK",312,PIPE/METAL PIPE,IC,Invest Cont,745,,,,FLOWER                       ST,28TH                         ST,34.0223,-118.2719
211807300,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,200,18,Southeast,1831,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0401 1813 1243 0416 1222 2007,25,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,700 W  EL SEGUNDO                   BL,,33.9201,-118.2868
210307163,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,1930,3,Southwest,337,2,901,VIOLATION OF RESTRAINING ORDER,2038 1309 0913,31,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,901,,,,2900    KENWOOD                      AV,,34.0273,-118.2991
211605870,03/07/2021 12:00:00 AM,03/07/2021 12:00:00 AM,400,16,Foothill,1658,2,888,TRESPASSING,1501 1822,52,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,10100    SILVERTON                    AV,,34.2521,-118.2843
220607449,03/07/2022 12:00:00 AM,03/07/2022 12:00:00 AM,2100,6,Hollywood,646,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1300,27,F,W,101,STREET,,,IC,Invest Cont,740,,,,SELMA,WILCOX,34.0998,-118.331
221706370,03/07/2022 12:00:00 AM,03/07/2022 12:00:00 AM,930,17,Devonshire,1783,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0329 0447 1814 0400 2000,29,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,19200    NORDHOFF                     ST,,34.2354,-118.5516
